Local time,Open,High,Low,Close,Volume
22.09.2003 05:00:00.000 GMT+0800,113.569,113.569,111.363,112.175,630319.4063
23.09.2003 05:00:00.000 GMT+0800,112.168,112.361,110.894,112.245,626195.297
24.09.2003 05:00:00.000 GMT+0800,112.246,112.366,111.228,111.682,625673.3056999999
25.09.2003 05:00:00.000 GMT+0800,111.723,112.314,111.442,112.154,627010.6015999999
26.09.2003 05:00:00.000 GMT+0800,112.187,112.283,111.604,111.673,619286.0001000001
27.09.2003 05:00:00.000 GMT+0800,111.673,111.673,111.673,111.673,0
28.09.2003 05:00:00.000 GMT+0800,111.673,111.673,111.673,111.673,0
29.09.2003 05:00:00.000 GMT+0800,111.735,111.789,110.717,110.737,625956.8975000001
30.09.2003 05:00:00.000 GMT+0800,110.721,112.047,110.076,111.459,635918.2958
01.10.2003 05:00:00.000 GMT+0800,111.461,111.571,110.517,110.620,624934.2890999999
02.10.2003 05:00:00.000 GMT+0800,110.615,111.272,110.510,110.673,624440.7959
03.10.2003 05:00:00.000 GMT+0800,110.653,111.026,110.211,110.828,615812.3086000001
04.10.2003 05:00:00.000 GMT+0800,110.828,110.828,110.828,110.828,0
05.10.2003 05:00:00.000 GMT+0800,110.828,110.828,110.828,110.828,0
06.10.2003 05:00:00.000 GMT+0800,111.009,111.307,110.761,110.931,610040.3028000001
07.10.2003 05:00:00.000 GMT+0800,110.960,111.111,109.340,109.880,617257.7997999999
08.10.2003 05:00:00.000 GMT+0800,109.867,110.028,109.350,109.548,617384.5986
09.10.2003 05:00:00.000 GMT+0800,109.559,109.590,108.882,109.035,623521.1953
10.10.2003 05:00:00.000 GMT+0800,109.020,109.303,108.264,108.660,610800.4012999999
11.10.2003 05:00:00.000 GMT+0800,108.660,108.660,108.660,108.660,0
12.10.2003 05:00:00.000 GMT+0800,108.660,108.660,108.660,108.660,0
13.10.2003 05:00:00.000 GMT+0800,108.445,109.010,108.250,108.875,582272.1957
14.10.2003 05:00:00.000 GMT+0800,108.897,110.174,108.634,108.842,613523.2929
15.10.2003 05:00:00.000 GMT+0800,108.829,109.783,108.730,109.525,625438.7062
16.10.2003 05:00:00.000 GMT+0800,109.480,110.267,109.190,109.906,616943.2930000001
17.10.2003 05:00:00.000 GMT+0800,109.905,110.000,109.275,109.315,611826.8994
18.10.2003 05:00:00.000 GMT+0800,109.315,109.315,109.315,109.315,0
19.10.2003 05:00:00.000 GMT+0800,109.315,109.315,109.315,109.315,0
20.10.2003 05:00:00.000 GMT+0800,109.005,110.564,108.759,110.333,620923.5048999999
21.10.2003 05:00:00.000 GMT+0800,110.352,110.427,109.385,109.431,625292.2997
22.10.2003 05:00:00.000 GMT+0800,109.453,109.686,108.808,108.925,622508.3028000001
23.10.2003 05:00:00.000 GMT+0800,108.932,109.810,108.839,109.466,629313.8028
24.10.2003 05:00:00.000 GMT+0800,109.488,109.947,109.005,109.266,617509.3008999999
25.10.2003 05:00:00.000 GMT+0800,109.266,109.266,109.266,109.266,0
26.10.2003 05:00:00.000 GMT+0800,109.266,109.266,109.266,109.266,0
27.10.2003 06:00:00.000 GMT+0800,109.243,109.265,108.263,108.477,614389.2059999999
28.10.2003 06:00:00.000 GMT+0800,108.489,108.614,108.137,108.254,631032.6092999999
29.10.2003 06:00:00.000 GMT+0800,108.258,108.359,107.794,108.288,620961.9092999999
30.10.2003 06:00:00.000 GMT+0800,108.285,108.848,107.928,108.718,627088.6045
31.10.2003 06:00:00.000 GMT+0800,108.715,110.198,108.584,109.919,622032.1992
01.11.2003 06:00:00.000 GMT+0800,109.919,109.919,109.919,109.919,0
02.11.2003 06:00:00.000 GMT+0800,109.919,109.919,109.919,109.919,0
03.11.2003 06:00:00.000 GMT+0800,109.873,111.477,109.682,110.922,616829.0976000001
04.11.2003 06:00:00.000 GMT+0800,110.937,111.010,109.381,109.528,625934.9972000001
05.11.2003 06:00:00.000 GMT+0800,109.535,110.041,109.444,109.818,633050.7948999999
06.11.2003 06:00:00.000 GMT+0800,109.849,110.313,109.772,110.189,625289.5967
07.11.2003 06:00:00.000 GMT+0800,110.181,110.375,109.018,109.340,627687.8077000001
08.11.2003 06:00:00.000 GMT+0800,109.340,109.340,109.340,109.340,0
09.11.2003 06:00:00.000 GMT+0800,109.340,109.340,109.340,109.340,0
10.11.2003 06:00:00.000 GMT+0800,109.303,109.627,107.836,108.788,620008.6014999999
11.11.2003 06:00:00.000 GMT+0800,108.799,109.116,108.378,108.661,627054.6015
12.11.2003 06:00:00.000 GMT+0800,108.660,109.131,108.414,108.810,621092.0009999999
13.11.2003 06:00:00.000 GMT+0800,108.848,108.874,108.030,108.082,629134.8964
14.11.2003 06:00:00.000 GMT+0800,108.080,108.485,107.916,108.328,625736.4033
15.11.2003 06:00:00.000 GMT+0800,108.328,108.328,108.328,108.328,0
16.11.2003 06:00:00.000 GMT+0800,108.328,108.328,108.328,108.328,0
17.11.2003 06:00:00.000 GMT+0800,108.307,109.720,108.203,108.860,629558.5968
18.11.2003 06:00:00.000 GMT+0800,108.865,109.085,107.901,107.912,627910.0039999998
19.11.2003 06:00:00.000 GMT+0800,107.958,109.371,107.522,109.249,629202.6015999999
20.11.2003 06:00:00.000 GMT+0800,109.259,109.279,108.614,108.990,630556.3954999999
21.11.2003 06:00:00.000 GMT+0800,108.988,109.363,108.602,108.724,627901.4071000001
22.11.2003 06:00:00.000 GMT+0800,108.724,108.724,108.724,108.724,0
23.11.2003 06:00:00.000 GMT+0800,108.724,108.724,108.724,108.724,0
24.11.2003 06:00:00.000 GMT+0800,108.770,109.488,108.700,109.280,603935.1967999998
25.11.2003 06:00:00.000 GMT+0800,109.280,110.002,109.177,109.354,631984.8973999999
26.11.2003 06:00:00.000 GMT+0800,109.371,109.748,108.848,109.045,623522.0967
27.11.2003 06:00:00.000 GMT+0800,109.053,109.280,108.852,109.055,597121.1074999999
28.11.2003 06:00:00.000 GMT+0800,109.064,109.637,109.052,109.583,609208.8905999999
29.11.2003 06:00:00.000 GMT+0800,109.583,109.583,109.583,109.583,0
30.11.2003 06:00:00.000 GMT+0800,109.583,109.583,109.583,109.583,0
01.12.2003 06:00:00.000 GMT+0800,109.693,109.998,109.055,109.371,625026.5889
02.12.2003 06:00:00.000 GMT+0800,109.380,109.793,108.518,108.540,628894.0926999999
03.12.2003 06:00:00.000 GMT+0800,108.562,108.792,108.065,108.220,630132.6035999999
04.12.2003 06:00:00.000 GMT+0800,108.221,108.466,107.919,108.155,624347.5928
05.12.2003 06:00:00.000 GMT+0800,108.176,108.394,107.492,107.685,622711.8095999999
06.12.2003 06:00:00.000 GMT+0800,107.685,107.685,107.685,107.685,0
07.12.2003 06:00:00.000 GMT+0800,107.685,107.685,107.685,107.685,0
08.12.2003 06:00:00.000 GMT+0800,107.654,107.792,107.068,107.368,629813.3017999998
09.12.2003 06:00:00.000 GMT+0800,107.367,107.533,106.723,107.092,621079.7071000001
10.12.2003 06:00:00.000 GMT+0800,107.097,108.696,107.035,108.379,620272.1923999998
11.12.2003 06:00:00.000 GMT+0800,108.387,108.440,107.903,107.998,627786.5888999999
12.12.2003 06:00:00.000 GMT+0800,107.991,108.057,107.604,107.830,619998.8984
13.12.2003 06:00:00.000 GMT+0800,107.830,107.830,107.830,107.830,0
14.12.2003 06:00:00.000 GMT+0800,107.830,107.830,107.830,107.830,0
15.12.2003 06:00:00.000 GMT+0800,108.331,108.374,107.344,107.558,622686.3975
16.12.2003 06:00:00.000 GMT+0800,107.573,107.818,107.348,107.460,626438.5877999999
17.12.2003 06:00:00.000 GMT+0800,107.457,107.815,107.171,107.371,620860.6006
18.12.2003 06:00:00.000 GMT+0800,107.352,108.072,107.296,107.606,619049.5928
19.12.2003 06:00:00.000 GMT+0800,107.609,107.979,107.499,107.778,614689.1045000001
20.12.2003 06:00:00.000 GMT+0800,107.778,107.778,107.778,107.778,0
21.12.2003 06:00:00.000 GMT+0800,107.778,107.778,107.778,107.778,0
22.12.2003 06:00:00.000 GMT+0800,107.643,107.925,107.248,107.506,620822.5948000001
23.12.2003 06:00:00.000 GMT+0800,107.500,107.581,107.213,107.385,615514.8914999999
24.12.2003 06:00:00.000 GMT+0800,107.415,107.532,107.091,107.207,599750.9033
25.12.2003 06:00:00.000 GMT+0800,107.250,107.373,107.052,107.195,525382.9042999999
26.12.2003 06:00:00.000 GMT+0800,107.196,107.498,106.867,107.412,571192.1026
27.12.2003 06:00:00.000 GMT+0800,107.412,107.412,107.412,107.412,0
28.12.2003 06:00:00.000 GMT+0800,107.412,107.412,107.412,107.412,0
29.12.2003 06:00:00.000 GMT+0800,107.322,107.358,106.826,106.977,603174.1993
30.12.2003 06:00:00.000 GMT+0800,106.989,107.137,106.846,106.950,617870.6016
31.12.2003 06:00:00.000 GMT+0800,106.970,107.710,106.739,107.195,581173.3984999999
01.01.2004 06:00:00.000 GMT+0800,107.195,107.469,106.960,107.416,203911.99550000002
02.01.2004 06:00:00.000 GMT+0800,107.422,107.481,106.695,107.020,604275.4932
03.01.2004 06:00:00.000 GMT+0800,107.020,107.020,107.020,107.020,0
04.01.2004 06:00:00.000 GMT+0800,107.020,107.020,107.020,107.020,0
05.01.2004 06:00:00.000 GMT+0800,107.026,107.294,106.004,106.163,611109.5997
06.01.2004 06:00:00.000 GMT+0800,106.178,106.374,105.974,106.135,613202.7031999999
07.01.2004 06:00:00.000 GMT+0800,106.148,106.404,105.883,106.146,616836.7940000001
08.01.2004 06:00:00.000 GMT+0800,106.152,106.239,106.047,106.149,609784.793
09.01.2004 06:00:00.000 GMT+0800,106.162,108.193,106.065,106.746,612354.8936
10.01.2004 06:00:00.000 GMT+0800,106.746,106.746,106.746,106.746,0
11.01.2004 06:00:00.000 GMT+0800,106.746,106.746,106.746,106.746,0
12.01.2004 06:00:00.000 GMT+0800,106.580,106.726,106.313,106.602,618513.7969000001
13.01.2004 06:00:00.000 GMT+0800,106.616,106.705,106.100,106.170,618227.8878
14.01.2004 06:00:00.000 GMT+0800,106.182,106.311,105.941,106.138,625842.3007
15.01.2004 06:00:00.000 GMT+0800,106.130,106.463,105.950,106.318,624843.7989
16.01.2004 06:00:00.000 GMT+0800,106.306,106.990,105.712,106.586,627821.8008000001
17.01.2004 06:00:00.000 GMT+0800,106.586,106.586,106.586,106.586,0
18.01.2004 06:00:00.000 GMT+0800,106.586,106.586,106.586,106.586,0
19.01.2004 06:00:00.000 GMT+0800,106.590,107.459,106.334,107.200,624738.3945
20.01.2004 06:00:00.000 GMT+0800,107.215,107.880,106.939,107.042,633319.9892000001
21.01.2004 06:00:00.000 GMT+0800,107.043,107.266,106.569,106.862,627496.1025000002
22.01.2004 06:00:00.000 GMT+0800,106.866,106.996,105.918,106.001,627588.5947
23.01.2004 06:00:00.000 GMT+0800,106.021,106.798,105.724,106.701,629581.7012
24.01.2004 06:00:00.000 GMT+0800,106.701,106.701,106.701,106.701,0
25.01.2004 06:00:00.000 GMT+0800,106.701,106.701,106.701,106.701,0
26.01.2004 06:00:00.000 GMT+0800,106.548,106.711,105.768,106.341,626581.9932
27.01.2004 06:00:00.000 GMT+0800,106.355,106.411,105.448,105.495,604622.2979
28.01.2004 06:00:00.000 GMT+0800,105.497,106.553,105.422,106.183,625996.8038000001
29.01.2004 06:00:00.000 GMT+0800,106.222,106.291,105.622,105.918,625252.2928999999
30.01.2004 06:00:00.000 GMT+0800,105.933,106.108,105.584,105.656,632151.2032
31.01.2004 06:00:00.000 GMT+0800,105.656,105.656,105.656,105.656,0
01.02.2004 06:00:00.000 GMT+0800,105.656,105.656,105.656,105.656,0
02.02.2004 06:00:00.000 GMT+0800,105.585,105.780,105.363,105.508,618280.7109999999
03.02.2004 06:00:00.000 GMT+0800,105.580,105.808,105.207,105.433,628571.5967
04.02.2004 06:00:00.000 GMT+0800,105.432,105.632,105.242,105.384,626111.8936000001
05.02.2004 06:00:00.000 GMT+0800,105.405,106.034,105.348,105.761,626200.794
06.02.2004 06:00:00.000 GMT+0800,105.777,106.774,105.354,105.425,630623.6035
07.02.2004 06:00:00.000 GMT+0800,105.425,105.425,105.425,105.425,0
08.02.2004 06:00:00.000 GMT+0800,105.425,105.425,105.425,105.425,0
09.02.2004 06:00:00.000 GMT+0800,105.630,106.022,105.487,105.540,628918.4942
10.02.2004 06:00:00.000 GMT+0800,105.567,105.865,105.300,105.570,636242.1973
11.02.2004 06:00:00.000 GMT+0800,105.553,105.693,105.142,105.395,628316.295
12.02.2004 06:00:00.000 GMT+0800,105.412,105.566,105.234,105.335,624199.5964999999
13.02.2004 06:00:00.000 GMT+0800,105.336,105.588,105.244,105.409,617642.4113000002
