Local time,Open,High,Low,Close,Volume
27.08.2003 05:00:00.000 GMT+0800,117.340,118.004,117.277,117.432,606062.2931
28.08.2003 05:00:00.000 GMT+0800,117.423,117.630,117.203,117.313,608944.5957999999
29.08.2003 05:00:00.000 GMT+0800,117.313,117.415,116.146,116.922,601150.8077000001
30.08.2003 05:00:00.000 GMT+0800,116.922,116.922,116.922,116.922,0
31.08.2003 05:00:00.000 GMT+0800,116.922,116.922,116.922,116.922,0
01.09.2003 05:00:00.000 GMT+0800,116.742,116.823,116.327,116.540,512323.3028
02.09.2003 05:00:00.000 GMT+0800,116.557,117.244,115.824,116.583,592493.0019
03.09.2003 05:00:00.000 GMT+0800,116.578,116.589,115.840,115.884,607656.7021999999
04.09.2003 05:00:00.000 GMT+0800,115.872,117.080,115.733,116.736,601414.2978
05.09.2003 05:00:00.000 GMT+0800,116.738,117.154,116.433,116.817,605168.0108
06.09.2003 05:00:00.000 GMT+0800,116.817,116.817,116.817,116.817,0
07.09.2003 05:00:00.000 GMT+0800,116.817,116.817,116.817,116.817,0
08.09.2003 05:00:00.000 GMT+0800,116.827,117.711,116.363,116.844,605428.9931
09.09.2003 05:00:00.000 GMT+0800,116.835,116.954,116.060,116.841,598759.9981
10.09.2003 05:00:00.000 GMT+0800,116.840,117.253,116.614,117.075,595995.499
11.09.2003 05:00:00.000 GMT+0800,117.095,117.272,116.553,117.098,587320.2032
12.09.2003 05:00:00.000 GMT+0800,117.120,117.502,116.732,117.294,585642.4112
13.09.2003 05:00:00.000 GMT+0800,117.294,117.294,117.294,117.294,0
14.09.2003 05:00:00.000 GMT+0800,117.294,117.294,117.294,117.294,0
15.09.2003 05:00:00.000 GMT+0800,117.301,117.680,117.185,117.477,590748.3975
16.09.2003 05:00:00.000 GMT+0800,117.460,117.475,116.002,116.186,600199.2050999999
17.09.2003 05:00:00.000 GMT+0800,116.140,116.496,115.843,116.032,600694.1982
18.09.2003 05:00:00.000 GMT+0800,116.036,116.176,114.745,115.251,606812.8007
19.09.2003 05:00:00.000 GMT+0800,115.267,115.511,113.605,113.958,603061.5995999998
20.09.2003 05:00:00.000 GMT+0800,113.958,113.958,113.958,113.958,0
21.09.2003 05:00:00.000 GMT+0800,113.958,113.958,113.958,113.958,0
22.09.2003 05:00:00.000 GMT+0800,113.579,113.579,111.373,112.225,611532.4961999999
23.09.2003 05:00:00.000 GMT+0800,112.218,112.376,110.911,112.295,608048.1944
24.09.2003 05:00:00.000 GMT+0800,112.296,112.383,111.248,111.732,615454.7987999999
25.09.2003 05:00:00.000 GMT+0800,111.743,112.330,111.452,112.204,608256.0059000001
26.09.2003 05:00:00.000 GMT+0800,112.237,112.293,111.614,111.723,602190.7950999999
27.09.2003 05:00:00.000 GMT+0800,111.723,111.723,111.723,111.723,0
28.09.2003 05:00:00.000 GMT+0800,111.723,111.723,111.723,111.723,0
29.09.2003 05:00:00.000 GMT+0800,111.785,111.811,110.738,110.787,604344.8076
30.09.2003 05:00:00.000 GMT+0800,110.771,112.057,110.092,111.509,603225.297
01.10.2003 05:00:00.000 GMT+0800,111.511,111.586,110.533,110.670,603521.0059000001
02.10.2003 05:00:00.000 GMT+0800,110.665,111.286,110.528,110.723,601321
03.10.2003 05:00:00.000 GMT+0800,110.703,111.046,110.231,110.878,603833.4922000001
04.10.2003 05:00:00.000 GMT+0800,110.878,110.878,110.878,110.878,0
05.10.2003 05:00:00.000 GMT+0800,110.878,110.878,110.878,110.878,0
